RECSEQ	ACCESS_LIC_ID	ACCESS_PNT_ID	PROFILE_ID	STATUS
0000000420	17600184	17800071	6219126	ACTIVE
0000000421	17600185	17800071	6936011	INACTIVE
0000000422	17600186	17800071	5820674	INACTIVE
0000000423	17600187	17800072	6936011	INACTIVE
0000000424	17600188	17800072	5820674	INACTIVE
0000000425	17600189	17800072	6219126	ACTIVE
0000000426	18500021	16200531	1367481	INACTIVE
0000000427	17600190	17800073	2593751	ACTIVE
0000000428	17600191	17800074	3419270	ACTIVE
0000000429	17600192	8000084	12290152	ACTIVE
0000000430	17600193	17800076	2559485	ACTIVE
0000000431	17600194	18500008	12471049	ACTIVE
0000000432	17600195	17800077	7322552	ACTIVE
0000000433	18400015	17800061	12504691	INACTIVE
0000000434	18400016	17800061	12516241	INACTIVE
0000000435	18400017	17800061	12503884	INACTIVE
0000000436	18400018	17800061		INACTIVE
0000000437	18400019	17800061		INACTIVE
0000000438	18400020	17800061		INACTIVE
0000000439	18400021	17800061	12514598	INACTIVE
0000000440	18400022	17800061		INACTIVE
0000000441	18400023	17800061		INACTIVE
0000000442	18400024	17800061		INACTIVE
0000000443	18400025	17800061		INACTIVE
0000000444	18400026	17800062		INACTIVE
0000000445	18400027	17800062		INACTIVE
0000000446	18400028	17800062		INACTIVE
0000000447	18400029	17800062		INACTIVE
0000000448	18400030	17800062	12516241	INACTIVE
0000000449	18400031	17800062		INACTIVE
0000000450	18400032	17800062	12504693	INACTIVE
0000000451	18400033	17800062	12514598	INACTIVE
0000000452	18400034	17800063	12516241	INACTIVE
0000000453	18400035	17800063		INACTIVE
0000000454	18400036	17800063	12504693	INACTIVE
0000000455	18400037	17800063	12514598	INACTIVE
0000000456	18500022	16200413	12479333	ACTIVE
0000000457	17600196	16200399	11509264	INACTIVE
0000000458	17600197	16200392	11509264	INACTIVE
0000000459	17600387	17800128	7984620	ACTIVE
0000000460	20000001	20100001	16251499	ACTIVE
0000000461	22700001	22600002		INACTIVE
0000000462	24800001	24800057	37041507	ACTIVE
0000000463	100001	100001		INACTIVE
0000000464	100002	100002		ACTIVE
0000000465	100003	100002		ACTIVE
0000000466	100004	100002		ACTIVE
0000000467	100005	100002		ACTIVE
0000000468	100006	100002		ACTIVE
0000000469	200001	100001		ACTIVE
0000000470	100007	100001		ACTIVE
0000000471	300001	200001		INACTIVE
0000000472	300002	200001		ACTIVE
0000000473	300003	200002		INACTIVE
0000000474	300004	200003		INACTIVE
0000000475	100008	100003		ACTIVE
0000000476	100009	100003		INACTIVE
0000000477	100010	100003	370443	INACTIVE
0000000478	100011	100003	370402	ACTIVE
0000000479	100012	100003	370077	ACTIVE
0000000480	100013	100004	370402	INACTIVE
0000000481	100014	100004	370481	INACTIVE
0000000482	3400001	3500001	3351188	ACTIVE
0000000483	400001	300001	420048	INACTIVE
0000000484	100016	300001	420048	INACTIVE
0000000485	100017	100004	380073	ACTIVE
0000000486	400002	100004	370402	INACTIVE
0000000487	400003	100004	370402	INACTIVE
0000000488	400004	100004	370402	INACTIVE
0000000489	400005	100004		INACTIVE
0000000490	400006	100004	370402	INACTIVE
0000000491	400007	100004		INACTIVE
0000000492	400008	100004		INACTIVE
0000000493	500001	200003		ACTIVE
0000000494	500002	200001		ACTIVE
0000000495	600001	400001		INACTIVE
0000000496	600002	400001		INACTIVE
0000000497	600003	400001	440011	INACTIVE
0000000498	700001	500001	7481483	INACTIVE
0000000499	700002	500001		INACTIVE
0000000500	700003	500001		INACTIVE
0000000501	700004	500001	370402	INACTIVE
0000000502	700005	500001		INACTIVE
0000000503	800001	100004	370402	INACTIVE
0000000504	800002	100004	470055	INACTIVE
0000000505	700006	100004		INACTIVE
0000000506	700007	100004	470055	ACTIVE
0000000507	800003	600001	380073	INACTIVE
0000000508	800004	600003	470147	INACTIVE
0000000509	800005	600002	470147	INACTIVE
0000000510	700008	500008	480203	INACTIVE
0000000511	700009	500009	480203	INACTIVE
0000000512	700010	500007	480203	INACTIVE
0000000513	700011	500006	480203	INACTIVE
0000000514	700012	500010	480202	INACTIVE
0000000515	800006	600007	470285	INACTIVE
0000000516	800007	600005	470285	INACTIVE
0000000517	800008	600006	470285	INACTIVE
0000000518	800009	600004	470285	INACTIVE
0000000519	700013	500011		INACTIVE
0000000520	700014	500013	480450	INACTIVE
0000000521	700015	500011	480386	INACTIVE
0000000522	700016	500014	480386	INACTIVE
0000000523	700017	500015	480386	INACTIVE
0000000524	700018	500016	480386	INACTIVE
0000000525	700019	500019	480514	INACTIVE
0000000526	700020	500020	480514	INACTIVE
0000000527	700021	500018	480514	INACTIVE
0000000528	700022	500017	480514	INACTIVE
0000000529	700023	500021	480554	INACTIVE
0000000530	700024	500024	480554	INACTIVE
0000000531	700025	500023	480554	INACTIVE
0000000532	700026	500022	480554	INACTIVE
0000000533	900001	600001	380073	INACTIVE
0000000534	900002	600001	380073	ACTIVE
0000000535	1000001	900001		ACTIVE
0000000536	1000002	800006		INACTIVE
0000000537	1000003	800005	530337	INACTIVE
0000000538	1000004	800004		INACTIVE
0000000539	1000005	800003		INACTIVE
0000000540	1100001	900003		ACTIVE
0000000541	1000006	800007	532967	ACTIVE
0000000542	1100002	900004	543165	ACTIVE
0000000543	1100003	900005	543810	ACTIVE
0000000544	1000007	800008		ACTIVE
0000000545	1100004	900006		ACTIVE
0000000546	1000008	800009	534562	ACTIVE
0000000547	1100005	900007		ACTIVE
0000000548	1100006	900008		ACTIVE
0000000549	1000009	800010		ACTIVE
