,0,Zipcode,Zipcode Area,0,,,,,,,
272,49660,49660,186.729 sq mi,186.729 sq mi,,,,,,,7.775 sq mi
273,60153,60153,2.997 sq mi,2.997 sq mi,,,,,,,16.49 sq mi
274,55905,55905,0 sq mi,0 sq mi,,,,,,,0.021 sq mi
275,49415,49415,29.43 sq mi,29.43 sq mi,,,,,,,6.333 sq mi
276,48114,48114,1.733 sq mi,1.733 sq mi,,,,,,,126.948 sq mi
277,96813,96813,0.249 sq mi,0.249 sq mi,,,,,,,0.178 sq mi
278,63110,63110,6.263 sq mi,6.263 sq mi,,,,,,,0.034 sq mi
279,48843,48843,90.004 sq mi,90.004 sq mi,,,,,,,112.682 sq mi
280,48070,48070,0.004 sq mi,0.004 sq mi,,,,,,,371.732 sq mi
281,23708,23708,0.165 sq mi,0.165 sq mi,,,,,,,2.364 sq mi
282,49727,49727,129.101 sq mi,129.101 sq mi,,,,,,,0.519 sq mi
283,11772,11772,0.445 sq mi,0.445 sq mi,,,,,,,10.842 sq mi
284,20755,20755,0.012 sq mi,0.012 sq mi,,,,,,,1.221 sq mi
285,97209,97209,1.046 sq mi,1.046 sq mi,,,,,,,0 sq mi
286,48322,48322,11.756 sq mi,11.756 sq mi,,,,,,,0.158 sq mi
287,21133,21133,0.016 sq mi,0.016 sq mi,,,,,,,10.74 sq mi
288,11374,11374,0 sq mi,0 sq mi,,,,,,,4.987 sq mi
289,55455,55455,0.267 sq mi,0.267 sq mi,,,,,,,1.471 sq mi
290,48327,48327,0.484 sq mi,0.484 sq mi,,,,,,,8.219 sq mi
291,49712,49712,71.689 sq mi,71.689 sq mi,,,,,,,23.757 sq mi
292,30322,30322,0.001 sq mi,0.001 sq mi,,,,,,,1.84 sq mi
293,12208,12208,4.194 sq mi,4.194 sq mi,,,,,,,101.09 sq mi
294,43210,43210,1.546 sq mi,1.546 sq mi,,,,,,,3.297 sq mi
295,77030,77030,2.521 sq mi,2.521 sq mi,,,,,,,7.261 sq mi
296,79905,79905,6.482 sq mi,6.482 sq mi,,,,,,,0.071 sq mi
297,90095,90095,0 sq mi,0 sq mi,,,,,,,0.404 sq mi
298,76301,76301,11.734 sq mi,11.734 sq mi,,,,,,,7.793 sq mi
299,15238,15238,0.801 sq mi,0.801 sq mi,,,,,,,1.225 sq mi
300,30553,30553,59.253 sq mi,59.253 sq mi,,,,,,,84.641 sq mi
301,92121,92121,12.251 sq mi,12.251 sq mi,,,,,,,1.69 sq mi
302,92024,92024,0.753 sq mi,0.753 sq mi,,,,,,,10.83 sq mi
303,43617,43617,5.475 sq mi,5.475 sq mi,,,,,,,0 sq mi
304,19104,19104,0.128 sq mi,0.128 sq mi,,,,,,,14.39 sq mi
305,11355,11355,0 sq mi,0 sq mi,,,,,,,5.366 sq mi
306,47804,47804,6.577 sq mi,6.577 sq mi,,,,,,,10.07 sq mi
307,21287,21287,0 sq mi,0 sq mi,,,,,,,9.758 sq mi
308,40391,40391,239.432 sq mi,239.432 sq mi,,,,,,,40.327 sq mi
309,44136,44136,13.61 sq mi,13.61 sq mi,,,,,,,0.305 sq mi
310,49236,49236,37.54 sq mi,37.54 sq mi,,,,,,,0.932 sq mi
311,48203,48203,8.014 sq mi,8.014 sq mi,,,,,,,0.121 sq mi
312,91343,91343,5.911 sq mi,5.911 sq mi,,,,,,,0.658 sq mi
313,63141,63141,14.133 sq mi,14.133 sq mi,,,,,,,0 sq mi
314,49048,49048,37.908 sq mi,37.908 sq mi,,,,,,,8.136 sq mi
315,10457,10457,1.061 sq mi,1.061 sq mi,,,,,,,11.614 sq mi
316,37208,37208,4.617 sq mi,4.617 sq mi,,,,,,,6.94 sq mi
317,19107,19107,0.549 sq mi,0.549 sq mi,,,,,,,1.69 sq mi
318,12901,12901,0.743 sq mi,0.743 sq mi,,,,,,,7.06 sq mi
319,26003,26003,94.765 sq mi,94.765 sq mi,,,,,,,8.769 sq mi
320,49682,49682,36.758 sq mi,36.758 sq mi,,,,,,,8.006 sq mi
321,49646,49646,221.872 sq mi,221.872 sq mi,,,,,,,0.397 sq mi
322,48879,48879,189.065 sq mi,189.065 sq mi,,,,,,,59.887 sq mi
323,49720,49720,95.633 sq mi,95.633 sq mi,,,,,,,5.073 sq mi
324,48617,48617,138.58 sq mi,138.58 sq mi,,,,,,,1.867 sq mi
325,97233,97233,0.018 sq mi,0.018 sq mi,,,,,,,0.109 sq mi
326,50010,50010,59.859 sq mi,59.859 sq mi,,,,,,,0.524 sq mi
327,48089,48089,7.963 sq mi,7.963 sq mi,,,,,,,0.524 sq mi
328,75024,75024,12.637 sq mi,12.637 sq mi,,,,,,,0.614 sq mi
329,80045,80045,0.67 sq mi,0.67 sq mi,,,,,,,75.631 sq mi
330,93246,93246,0 sq mi,0 sq mi,,,,,,,32.778 sq mi
331,48906,48906,33.156 sq mi,33.156 sq mi,,,,,,,0.011 sq mi
332,91105,91105,3.694 sq mi,3.694 sq mi,,,,,,,3.508 sq mi
333,49327,49327,92.394 sq mi,92.394 sq mi,,,,,,,10.991 sq mi
334,48838,48838,92.405 sq mi,92.405 sq mi,,,,,,,62.259 sq mi
335,32935,32935,12.869 sq mi,12.869 sq mi,,,,,,,14.14 sq mi
336,59101,59101,2.819 sq mi,2.819 sq mi,,,,,,,2.86 sq mi
337,10029,10029,0 sq mi,0 sq mi,,,,,,,28.9 sq mi
338,31520,31520,1.691 sq mi,1.691 sq mi,,,,,,,Not found
339,54304,54304,11.723 sq mi,11.723 sq mi,,,,,,,Not found
340,11219,11219,1.482 sq mi,1.482 sq mi,,,,,,,0.638 sq mi
341,46383,46383,0.601 sq mi,0.601 sq mi,,,,,,,0 sq mi
