,0
2020,58220
2021,58301
2022,11418
2023,11364
2024,29482
2025,20002
2026,82601
2027,89086
2028,20646
2029,38119
2030,88201
2031,95341
2032,92243
2033,23703
2034,23114
2035,29615
2036,23836
2037,20176
2038,84041
2039,28650
2040,84606
2041,68503
2042,76107
2043,68123
2044,51555
2045,51529
2046,29621
2047,38606
2048,38301
2049,92324
2050,45640
2051,72032
2052,72405
2053,63125
2054,65212
2055,19023
2056,63136
2057,64057
2058,52732
2059,97301
2060,70363
2061,65807
2062,75670
2063,50312
2064,24060
2065,61032
2066,52501
2067,50158
2068,50325
2069,50208
2070,79763
2071,65037
2072,65026
2073,37402
2074,99216
2075,67752
2076,66749
2077,46350
2078,37067
2079,22630
2080,29307
2081,38138
2082,73127
2083,73114
2084,42141
2085,55705
2086,58102
2087,55437
2088,35044
2089,32570
2090,39466
2091,40422
2092,56007
2093,54956
2094,47454
2095,80303
2096,53818
2097,53527
2098,46278
2099,46077
2100,68850
2101,71111
2102,21771
2103,19134
2104,99114
2105,11691
2106,27612
2107,75201
2108,98006
2109,33324
2110,33711
2111,32940
2112,89101
2113,85712
2114,35501
2115,35207
2116,33948
2117,37421
2118,92870
2119,32258
2120,32003
2121,32210
2122,32073
2123,32257
2124,32034
2125,43605
2126,14215
2127,18020
2128,70737
2129,94104
2130,33578
2131,42066
2132,29576
2133,27103
2134,77082
2135,32607
2136,98108
2137,63128
2138,92158
2139,85501
2140,80459
2141,20782
2142,15232
2143,37643
2144,37917
2145,10468
2146,59840
2147,76834
2148,81004
2149,61455
2150,10020
2151,44105
2152,45365
2153,20903
2154,43082
2155,79902
2156,75080
2157,53051
2158,33126
2159,60607
2160,42420
2161,55439
2162,27530
2163,77479
2164,94509
2165,32514
2166,45373
2167,17102
2168,74701
2169,93306
2170,33176
2171,97367
2172,38128
2173,94903
2174,94945
2175,94904
2176,98404
2177,32789
2178,40504
2179,50266
2180,52233
2181,10304
2182,19139
2183,27613
2184,56136
2185,32162
2186,92101
2187,91950
2188,29569
2189,90720
2190,75206
2191,75039
2192,78209
2193,33142
2194,19079
2195,32611
2196,45631
2197,20895
2198,22801
2199,22942
2200,44221
2201,83864
2202,90266
2203,79925
2204,79410
2205,97402
2206,35071
2207,28278
2208,19803
2209,27958
2210,28226
2211,20186
2212,28277
2213,39666
2214,27310
2215,20706
2216,77006
2217,27101
2218,29204
2219,64772
2220,65802
2221,65625
2222,65793
2223,65536
2224,65712
2225,65616
2226,97008
2227,46038
2228,46122
2229,98312
2230,93611
2231,92705
2232,90026
2233,90211
2234,94551
2235,90602
2236,94553
2237,92113
2238,90806
2239,92301
2240,92308
2241,91901
2242,94596
2243,94015
2244,94109
2245,94706
2246,94546
2247,94954
2248,94597
2249,95073
2250,94027
2251,95119
2252,92835
2253,94501
2254,91331
2255,23464
2256,10550
2257,47362
2258,12866
2259,16701
2260,55066
2261,78745
2262,78233
2263,75961
2264,77598
2265,79407
2266,76262
2267,78257
2268,22939
2269,77586
2270,79912
2271,75243
2272,94582
2273,78221
2274,77009
2275,78154
2276,79924
2277,77098
2278,76008
2279,73501
2280,17601
2281,19148
2282,11354
2283,17603
2284,19090
2285,17057
2286,17801
2287,18510
2288,21601
2289,17870
2290,17201
2291,18704
2292,19805
2293,16354
2294,15219
2295,39534
2296,15217
2297,60076
2298,60154
2299,60015
2300,75087
2301,32127
2302,32055
2303,32822
2304,63304
2305,75237
2306,33060
2307,18403
2308,33990
2309,33756
2310,33912
2311,86301
2312,29360
2313,32609
2314,21014
2315,78216
2316,32407
2317,32408
2318,46226
2319,45414
2320,46561
2321,45449
2322,29401
2323,45417
2324,80012
2325,98026
2326,15261
2327,45459
2328,10941
2329,89103
2330,89074
2331,89117
2332,93551
2333,94608
2334,98402
2335,24501
2336,23517
2337,87420
2338,81321
2339,81303
2340,91001
2341,87144
2342,22815
2343,24592
2344,28112
2345,27804
2346,28105
2347,28677
2348,28150
2349,27845
2350,28081
2351,28036
2352,28027
2353,28075
2354,28092
2355,28269
2356,35294
2357,26201
2358,28208
2359,26330
2360,29445
2361,70117
2362,29412
2363,28301
2364,84403
2365,84037
2366,84094
2367,39301
2368,30224
2369,71603
2370,97703
2371,63130
2372,79109
2373,50801
2374,45750
2375,97227
2376,97527
2377,97124
2378,55409
2379,29063
2380,67460
2381,67401
2382,37660
2383,37614
2384,24210
2385,37207
2386,73159
2387,73110
2388,90650
2389,73118
2390,74133
2391,38118
2392,42431
2393,40223
2394,55114
2395,55374
2396,55118
2397,35058
2398,36606
2399,28792
2400,56377
2401,35244
2402,38401
2403,35205
2404,80751
2405,46220
2406,80015
2407,80829
2408,80014
2409,80226
2410,80003
2411,81301
2412,53220
2413,46970
2414,46011
2415,46123
2416,46254
2417,46205
2418,42303
2419,53213
2420,53066
2421,53227
2422,53081
2423,53121
2424,53188
2425,99344
2426,45402
2427,54612
2428,54729
2429,54660
2430,54703
2431,54724
2432,54636
2433,52172
2434,54751
2435,52101
2436,55112
2437,55108
2438,54656
2439,54868
2440,52349
2441,54812
2442,53545
2443,55116
2444,54971
2445,29209
2446,53717
2447,11238
2448,54904
2449,70809
2450,70791
2451,19901
2452,98249
2453,98274
2454,28461
2455,98292
2456,98271
2457,98052
2458,70403
2459,33140
2460,98036
2461,60406
2462,98133
2463,20724
2464,98177
2465,55433
2466,74135
2467,14217
2468,76034
2469,75218
2470,33137
2471,40456
2472,28310
2473,28805
2474,39503
2475,40208
2476,40219
2477,40215
2478,75244
2479,75246
2480,68803
2481,90603
2482,33544
2483,23505
2484,72703
2485,94533
2486,91205
2487,20912
2488,92555
2489,94040
2490,78613
2491,78611
2492,77034
2493,77007
2494,76054
2495,78701
2496,78023
