,0
1032,42.838 sq mi
1033,24.65 sq mi
1034,0.438 sq mi
1035,0 sq mi
1036,1.618 sq mi
1037,0 sq mi
1038,0 sq mi
1039,2.831 sq mi
1040,0 sq mi
1041,Not found
1042,Not found
1043,Not found
1044,0 sq mi
1045,17.522 sq mi
1046,37.838 sq mi
1047,Not found
1048,164.913 sq mi
1049,0 sq mi
1050,81.658 sq mi
1051,Not found
1052,0.374 sq mi
1053,0 sq mi
1054,17.919 sq mi
1055,0 sq mi
1056,38.276 sq mi
1057,3.859 sq mi
1058,3.223 sq mi
1059,3.435 sq mi
1060,0 sq mi
1061,87.419 sq mi
1062,0 sq mi
1063,0 sq mi
1064,16.874 sq mi
1065,25.122 sq mi
1066,6.523 sq mi
1067,2.966 sq mi
1068,0 sq mi
1069,0.142 sq mi
1070,0 sq mi
1071,0 sq mi
1072,0 sq mi
1073,0 sq mi
1074,0.01 sq mi
1075,31.071 sq mi
1076,23.232 sq mi
1077,0 sq mi
1078,0.704 sq mi
1079,21.634 sq mi
1080,0 sq mi
1081,Not found
1082,Not found
1083,0.073 sq mi
1084,61.144 sq mi
1085,0 sq mi
1086,0.637 sq mi
1087,0 sq mi
1088,0 sq mi
1089,1.911 sq mi
1090,0 sq mi
1091,0.9 sq mi
1092,3.157 sq mi
1093,0 sq mi
1094,Not found
1095,Not found
1096,27.707 sq mi
1097,23.474 sq mi
1098,0.463 sq mi
1099,12.967 sq mi
1100,4.566 sq mi
1101,74.414 sq mi
1102,0.836 sq mi
1103,0.247 sq mi
1104,24.071 sq mi
1105,0.266 sq mi
1106,2.881 sq mi
1107,9.752 sq mi
1108,0.307 sq mi
1109,20.723 sq mi
1110,13.876 sq mi
1111,0 sq mi
1112,23.818 sq mi
1113,Not found
1114,Not found
1115,31.634 sq mi
1116,2.302 sq mi
1117,Not found
1118,Not found
1119,Not found
1120,0 sq mi
1121,Not found
1122,Not found
1123,0.218 sq mi
1124,14.97 sq mi
1125,10.758 sq mi
1126,Not found
1127,Not found
1128,Not found
1129,Not found
1130,Not found
1131,Not found
1132,Not found
1133,Not found
1134,Not found
1135,0.137 sq mi
1136,Not found
1137,Not found
1138,Not found
1139,0 sq mi
1140,0.052 sq mi
1141,0.063 sq mi
1142,3.924 sq mi
1143,0 sq mi
1144,0 sq mi
1145,75.966 sq mi
1146,136.455 sq mi
1147,19.76 sq mi
1148,0 sq mi
1149,139.562 sq mi
1150,Not found
1151,22.518 sq mi
1152,1.691 sq mi
1153,0.054 sq mi
1154,0 sq mi
1155,4.207 sq mi
1156,0 sq mi
1157,0.18 sq mi
1158,0.471 sq mi
1159,0 sq mi
1160,20.715 sq mi
1161,0 sq mi
1162,1.502 sq mi
1163,0 sq mi
1164,0 sq mi
1165,0 sq mi
1166,673.218 sq mi
1167,63.862 sq mi
1168,39.469 sq mi
1169,0 sq mi
1170,3.926 sq mi
1171,12.248 sq mi
1172,0.053 sq mi
1173,9.331 sq mi
1174,0.437 sq mi
1175,8.948 sq mi
1176,16.406 sq mi
1177,2.756 sq mi
1178,4.611 sq mi
1179,6.988 sq mi
1180,1.735 sq mi
1181,12.091 sq mi
1182,31.545 sq mi
1183,0.705 sq mi
1184,0.219 sq mi
1185,0.952 sq mi
1186,25.934 sq mi
1187,8.325 sq mi
1188,6.029 sq mi
1189,74.291 sq mi
1190,6.695 sq mi
1191,3.995 sq mi
1192,5.059 sq mi
1193,0.888 sq mi
1194,5.533 sq mi
1195,3.516 sq mi
1196,0 sq mi
1197,11.122 sq mi
1198,12.759 sq mi
1199,21.712 sq mi
1200,9.085 sq mi
1201,0 sq mi
1202,1.729 sq mi
1203,0.171 sq mi
1204,40.306 sq mi
1205,0.006 sq mi
1206,72.349 sq mi
1207,38.33 sq mi
1208,0 sq mi
1209,Not found
1210,6.62 sq mi
1211,2.9 sq mi
1212,1.253 sq mi
1213,18.756 sq mi
1214,177.274 sq mi
1215,Not found
1216,Not found
1217,7.526 sq mi
1218,30.412 sq mi
1219,0 sq mi
1220,67.67 sq mi
1221,10.017 sq mi
1222,0 sq mi
1223,0.024 sq mi
1224,9.2 sq mi
1225,0 sq mi
1226,31.359 sq mi
1227,229.97 sq mi
1228,78.511 sq mi
1229,166.818 sq mi
1230,213.275 sq mi
1231,0 sq mi
1232,72.498 sq mi
1233,0 sq mi
1234,0.041 sq mi
1235,0.175 sq mi
1236,8.081 sq mi
1237,8.292 sq mi
1238,0.03 sq mi
1239,252.462 sq mi
1240,0.765 sq mi
1241,166.583 sq mi
1242,3.379 sq mi
1243,1251.933 sq mi
1244,199.886 sq mi
1245,0 sq mi
1246,64.03 sq mi
1247,0 sq mi
1248,0.361 sq mi
1249,0.267 sq mi
1250,0 sq mi
1251,469.753 sq mi
1252,0 sq mi
1253,8.29 sq mi
1254,7.059 sq mi
1255,0.002 sq mi
1256,2.037 sq mi
1257,0.009 sq mi
1258,28.501 sq mi
1259,0 sq mi
1260,56.351 sq mi
1261,1.108 sq mi
1262,0.006 sq mi
1263,0 sq mi
1264,62.69 sq mi
1265,0.095 sq mi
1266,5.068 sq mi
1267,2.894 sq mi
1268,1.691 sq mi
1269,10.746 sq mi
1270,1.238 sq mi
1271,11.616 sq mi
1272,3.187 sq mi
1273,289.315 sq mi
1274,1.417 sq mi
1275,0.012 sq mi
1276,0 sq mi
1277,0 sq mi
1278,2.005 sq mi
1279,152.632 sq mi
1280,0.183 sq mi
1281,7.831 sq mi
1282,180.334 sq mi
1283,0 sq mi
1284,0 sq mi
1285,9.029 sq mi
1286,0.802 sq mi
1287,6.55 sq mi
1288,16.974 sq mi
1289,2.484 sq mi
1290,6.521 sq mi
1291,0 sq mi
1292,3.625 sq mi
1293,8.203 sq mi
1294,0.462 sq mi
1295,11.978 sq mi
1296,3.327 sq mi
1297,1.091 sq mi
1298,7.515 sq mi
1299,2.131 sq mi
