,0
1283,1.316 sq mi
1284,0.039 sq mi
1285,Not found
1286,Not found
1287,0.161 sq mi
1288,Not found
1289,Not found
1290,0.017 sq mi
1291,13.771 sq mi
1292,4.751 sq mi
1293,0.41 sq mi
1294,0 sq mi
1295,4.875 sq mi
1296,0 sq mi
1297,0.185 sq mi
1298,7.895 sq mi
1299,Not found
1300,Not found
1301,0.064 sq mi
1302,0 sq mi
1303,7.769 sq mi
1304,0 sq mi
1305,Not found
1306,69.311 sq mi
1307,78.991 sq mi
1308,48.799 sq mi
1309,0 sq mi
1310,Not found
1311,Not found
1312,72.498 sq mi
1313,0.045 sq mi
1314,97.444 sq mi
1315,198.347 sq mi
1316,3.361 sq mi
1317,3.97 sq mi
1318,Not found
1319,0 sq mi
1320,0.046 sq mi
1321,0.426 sq mi
1322,9.363 sq mi
1323,0.158 sq mi
1324,Not found
1325,Not found
1326,0.014 sq mi
1327,0.063 sq mi
1328,Not found
1329,2.774 sq mi
